Jepara,Pallasite; PMG,499500,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=53840,-6.6,110.73333,#3c4738
Saint-Aubin,Iron; IIIAB,472000,Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=23096,48.48333,3.58333,#869078
Carbo,Iron; IID,454000,Found,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=5266,29.66667,-111.5,#87775e
Etter,L5,450000,Found,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=10062,35.98333,-101.9,#6c6958
SaU 001,L5,450000,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23193,20.51667,56.66667,#e4cfb3
Wallapai,Iron; IID,430000,Found,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=24206,35.8,-113.7,#a59484
Ulasitai,Discredited,430000,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=34492,44.95667,91.4025,#4b4238
Paragould,LL5,408000,Fell,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=18101,36.06667,-90.5,#304936
ALHA76009,L6,407000,Found,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=1316,-76.71667,159.66667,#352f27
Augustinovka,Iron; IIIAB,400000,Found,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=4898,48.06667,35.08333,#102426
Pei Xian,Iron,400000,Found,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=18784,34.7,117,#21372c
Mount Joy,Iron; IIAB,384000,Found,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=16779,39.78333,-77.21667,#485239
Mont Dieu,Iron; ungrouped,360000,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=16722,49.55,4.86667,#284736
Hugoton,H5,350000,Found,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=11984,37.2,-101.35,#9a9b85
Longtian,Iron; IIIAB,350000,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=14696,27.35,108.5,#436453
Kokstad,Iron; IIIE,341000,Found,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=12341,-30.55,29.41667,#404d42
Bjurb?le,L/LL4,330000,Fell,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=5064,60.4,25.8,#3a4233
Millbillillie,Eucrite-mmict,330000,Fell,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=16643,-26.45,120.36667,#705342
Mount Edith,Iron; IIIAB,326000,Found,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=16773,-22.5,116.16667,#897d67
Sterlitamak,Iron; IIIAB,325000,Fell,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=23724,53.66667,55.98333,#7b776f
Seymchan,Pallasite; PMG,323300,Found,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=23510,62.9,152.43333,#15261c
Estherville,Mesosiderite-A3/4,320000,Fell,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=10059,43.41667,-94.83333,#55634f
Tamarugal,Iron; IIIAB,320000,Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=23794,-20.8,-69.66667,#bba08c
Guffey,Iron; ungrouped,309000,Found,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=11441,38.76667,-105.51667,#857e6e
Nova Petropolis,Iron; IIIAB,305000,Found,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=17928,-29.43333,-50.91667,#1c2917
Gressk,Iron; IIAB,303000,Found,1955,http://www.lpi.usra.edu/meteor/metbull.php?code=11200,53.23333,27.33333,#67755b
Bruderheim,L6,303000,Fell,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=5156,53.9,-112.88333,#485040
North Chile,Iron; IIAB,300000,Found,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=17001,-23,-69,#917e6e
Mocs,L5-6,300000,Fell,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=16709,46.8,24.03333,#375359
Putinga,L6,300000,Fell,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=18905,-29.03333,-53.05,#84957d
Tianlin,Iron; IAB complex,300000,Found,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=23983,24.3,106.1,#385442
Morland,H6,295000,Found,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=16746,39.33333,-100.06667,#6e715e
Estacado,H6,290000,Found,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=10057,33.9,-101.75,#6e5e4e
Morasko,Iron; IAB-MG,290000,Found,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=16741,52.46667,16.9,#434d3a
Bur-Abor,Iron; IIIAB,290000,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5166,3.98333,41.65,#5d5c4d
Clovis (no. 1),H3.6,283000,Found,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=5385,34.3,-103.13472,#9e886b
Rio Limay,L5,280000,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=22609,-39.85,-69.48333,#79735d
Sanclerlandia,Iron; IIIAB,279000,Found,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=23132,-16.21667,-50.3,#a1a082
South Dahna,Iron; IAB complex,275000,Found,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=23677,22.56667,48.3,#aeb3bd
Mount Padbury,Mesosiderite-A1,272000,Found,1964,http://www.lpi.usra.edu/meteor/metbull.php?code=16785,-25.66667,118.1,#b98756
Saint-S?verin,LL6,271000,Fell,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=23102,45.3,0.23333,#859378
Lake Murray,Iron; IIAB,270000,Found,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=12446,34.1,-97,#525a44
Miles,Iron; IIE,265000,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=16641,-27.83333,150.33333,#757564
Potter,L6,261000,Found,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=18878,41.23333,-103.3,#5f6254
Tishomingo,Iron; ungrouped,260000,Found,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=24010,34.25,-96.68333,#3d4c35
Suizhou,L6,260000,Fell,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=23738,31.61667,113.46667,#687159
Dalgety Downs,L4,257000,Found,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=5507,-25.33333,116.18333,#c79b66
Boguslavka,Iron; IIAB,256000,Fell,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=5098,44.55,131.63333,#476644
Dho 020,H4/5,256000,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6719,19.03333,54.51667,#ebcfb7
Uegit,Iron; IIIAB,252000,Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=24105,3.81667,43.33333,#9d7c63
Netscha??vo,Iron; IIE-an,250000,Found,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=16949,54.23333,35.15,#486748
Pultusk,H5,250000,Fell,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=18901,52.76667,21.26667,#557664
Omolon,Pallasite; PMG,250000,Fell,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=18019,64.02,161.80833,#474841
